player_id,player_name,position,jersey_number,years_exp,college,headshot_url,position_group,physical_grade,physical_raw,physical_coverage,physical_ci_low,physical_ci_high,physical_features_used,physical_features_missing,physical_missing_names,statistical_grade,statistical_coverage,statistical_ci_low,statistical_ci_high,statistical_features_used,statistical_features_missing,experience_bucket,scheme_experience
00-0034759,Kolton Miller,OL,74.0,8,UCLA,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jaq8p0tiipizksjbt3aa",OL,100.0,100.0,1.0,96.87,100.0,3,0,,44.57,1.0,41.44,47.7,7,0,veteran,yes
00-0037825,Tyler Linderbaum,OL,65.0,4,Iowa,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ojvsyozouivghvkbw5qk",OL,100.0,100.0,1.0,96.87,100.0,3,0,,30.25,0.2857,17.19,43.31,2,5,veteran,no
00-0041003,Justin Pickett,OL,77.0,0,,,OL,96.64,96.64,0.5,93.51,99.77,4,4,"ht, shuttle, cone, broad_jump",75.12,0.1429,60.88,89.35,1,6,rookie (college),unknown
00-0039735,Jackson Powers-Johnson,OL,58.0,2,Oregon,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/o2lpxcphdigzwbjr12jh",OL,95.97,95.97,1.0,92.84,99.09,3,0,,50.64,0.5714,40.34,60.95,4,3,veteran,yes
00-0040151,Charles Grant,OL,60.0,1,William & Mary,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dnnotmxgsahmqaesijf0",OL,93.41,93.41,0.625,90.28,96.53,5,3,"shuttle, cone, broad_jump",48.05,0.2857,34.99,61.11,2,5,sophomore (59 snaps),yes
00-0040999,Isaiah Jatta,OL,72.0,0,,,OL,89.38,89.38,0.5,86.25,92.51,4,4,"ht, shuttle, cone, broad_jump",71.36,0.1429,57.13,85.6,1,6,rookie (college),unknown
00-0040871,Trey Zuhn,OL,66.0,0,,,OL,84.0,84.0,0.5,80.87,87.13,4,4,"ht, shuttle, cone, broad_jump",79.07,0.1429,64.83,93.3,1,6,rookie (college),unknown
00-0040150,Caleb Rogers,OL,76.0,1,Texas Tech,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kb4qmwui2cqsllri7jyt",OL,72.27,72.27,0.625,69.15,75.4,5,3,"shuttle, cone, broad_jump",61.73,0.2857,48.67,74.78,2,5,sophomore (284 snaps),yes
00-0036604,Jordan Meredith,OL,61.0,5,Western Kentucky,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mcahbqsrb49owl6ipc2y",OL,69.08,69.08,1.0,65.95,72.2,3,0,,30.25,0.2857,17.19,43.31,2,5,veteran,yes
00-0039349,DJ Glaze,OL,71.0,2,Maryland,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yj1mdamgenemfg28e4b9",OL,62.91,62.91,1.0,59.79,66.04,3,0,,55.24,0.2857,42.19,68.3,2,5,veteran,yes
00-0037829,Spencer Burford,OL,70.0,4,Texas-San Antonio,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rizdurffvnwd66ait3pt",OL,60.85,60.85,1.0,57.72,63.97,3,0,,53.68,0.8571,47.2,60.15,6,1,veteran,yes
